id,name,slug,website,one_liner,long_description,batch,status,team_size,all_locations,industry,subindustry,tags,industries,regions,stage,isHiring,nonprofit,top_company,small_logo_thumb_url,launched_at
fl-17,HiGear,higear,,Private car-sharing club for luxury and sports cars,"## What was HiGear?

HiGear was a San Francisco peer-to-peer online company that listed luxury cars for rent. Registered users could lease a luxury car for a determined amount of time after going through background checks and paying security deposits.",,Acquired,6,United States,Transportation,Transportation,Legal Challenges,Transportation,United States,,False,False,False,,1293840000
fl-18,Zirtual,zirtual,,Dedicated virtual assistants for busy professionals,"## What was Zirtual?

Zirtual was an online agency that provided services for companies. The firm essentially worked as a matchmaker between busy entrepreneurs with small companies with efficient and ready to work virtual assistants (VA).
The company was quite successful and at its height employed over 400 people based in the U.S, from 39 States. The Zirtual Assistants (ZAs, as they were called) took care of assigned administrative tasks, from scheduling meetings, answering emails, making arrangements for travel but also did research and were recruited to build social engagement.",,Inactive,175,United States,Software & Hardware,Software & Hardware,Mismanagement of Funds,Software & Hardware,United States,,False,False,False,,1293840000
fl-19,RoomsTonite,roomstonite,,Last-minute hotel booking provider,"## What was RoomsTonite?

RoomsTonite was a last-minute hotel booking app for people that decided to travel in or to India. It focused on listing hotels that had vacant rooms and could be filled on short notice. The app was free to download and could be found on the Apple and Google Store. The app specifically let people search and book rooms at a discounted price from about 4,000 hotels across 325 locations. The booked room was supposed to be filled on the same day or within 72 hours.",,Inactive,175,India,Travel,Travel,Lack of Funds,Travel,India,,False,False,False,,1388534400
fl-20,Secret,secret,,Online platform to share personal secrets,"## What was Secret?

Secret was an Android and iOS app that allowed users to post content anonymously with their circle of friends or share it with a wider public. The app gained interest - and was at one point valued at 100 million- because it provided an outlet to those that didn’t want to be bound by the ‘real name’ rule of other social applications and face consequences for sharing their opinions and preferences. It also distinguished itself from other anonymous apps in that its interest factor for users could be higher since they knew that the person that shared a certain post on the app was someone that was in their contact list or circle of friends. The app became very addictive and some users said they routinely went through the motion of uninstalling the app only to install it again soon after that. The app was especially used in Silicon Valley.",,Inactive,30,United States,Social Media,Social Media,Legal Challenges,Social Media,United States,,False,False,False,,1356998400
fl-21,Rafter,rafter,,Textbook and course material provider for schools,"## What was Rafter?

Rafter was a textbook and course material provider for schools and colleges. The company, previously known as BookRenter, initially focused only on providing textbooks to educational institutions but decided to completely change strategy to gain an upper hand on its competitors. The company rebranded as Rafter and started providing cloud-based course material.
Rafter worked with small to medium colleges in particular, which found the bulk deals they were able to get hold of with Rafter advantageous. In this way, colleges were able to lower the prices of campus store books thus encouraging students to buy course material from the university instead of off-campus sites. Rafter also allowed instructors to find, sample and manage course material and provided digital books, audio, and video media as well as codes to access various online courses platforms.",,Acquired,75,United States,Education,Education,Competition,Education,United States,,False,False,False,,1136073600
fl-22,Netscape,netscape,,Developed enterprise software solutions,"## What was Netscape?

Netscape, or more precisely, Netscape Navigator, was one of the most significant internet applications in the history of the web. It was launched by Marc Andreessen and Jim Clark. Having built a highly innovative product and having no real competition back in 1995, the company was evaluated at $3 billion since the first day it went public and would go on to become one of the backbones to the Mozilla project.",,Inactive,7500,United States,Productivity,Productivity,Poor Product,Productivity,United States,,False,False,False,,757382400
fl-23,Sharingear,sharingear,,Marketplace for musicians to rent their instruments,"## What was Sharingear?

Sharingear was a peer to peer musical gear sharing platform for independent musicians and touring bands. The startup’s founder, who had a decade of experience in the touring business, experienced first hand how the logistics of touring can be challenging, especially for small musicians. Sharingear's hoped to make touring more affordable and accessible. Users could create a profile and post the musical instruments or gears they had for free so that others could buy it or rent it.",,Inactive,6,Denmark,Music,Music,Multiple Reasons,Music,Denmark,,False,False,False,,1388534400
fl-24,PepperTap,peppertap,,Large and fast grocery delivery service,"## What was PepperTap?

PepperTap provided online shopping platform that addressed customers' need to buy groceries from local markets by delivering the goods to their doorsteps. It targets buyers from different groups of cities, divided into three tiers.
The service helps in solving the problems of long queues in the market, limited parking spaces and manipulative intermediaries. Grofers, their main competitor, focused only on big cities to reduce management costs.
Another strong competitor of theirs is BigBasket which manages its own inventory and operates as a mega wholesaler, while PepperTap obtains their inventory from local suppliers.",,Inactive,3000,India,Food & Beverage,Food & Beverage,Poor Product,Food & Beverage,India,,False,False,False,,1388534400
fl-25,Zulily,zulily,,Online retailer that offered daily deals,"## What was Zulily?

Zulily was an online retailer providing daily deals on various products.
The site offered heavily discounted invite only flash sales to its customers and gained huge popularity and rave reviews in its first operational months.
Most products were initially from little-known brands and included prenatal care products, baby gear, travel accessories, bedding and bath, children's clothing, toys, DVDs, and educational materials.",,Inactive,3000,United States,e-Commerce,e-Commerce,Bad Marketing,e-Commerce,United States,,False,False,False,,1230768000
fl-26,EventVue,eventvue,,Built online communities for conferences,"## What was EventVue?

EventVue was as a social private network whose aim was to assist online communities to have a better conference networking experience. This platform helped attendees connect from different parts even before they met at the conference. The platform sought to make social connections easier for people who frequently traveled to attend conferences around the world but end up not knowing or not interacting with their fellow attendees before and after they got to the event. The startup later pivoted to become an event discovery platform.",,Inactive,6,United States,Finances,Finances,Lack of PMF,Finances,United States,,False,False,False,,1167609600
fl-27,Totsy,totsy,,E-commerce selling prenatal care products,"## What was Totsy?

Totsy, like other online shopping platforms, became widely known and used by millions of users during the era of the economic recession which brought a sudden, severe and prolonged fall in the price, value, and amount of goods. This flash sale company’s policies were extremely popular with the customers at the time, because they offered high-end fashion brands online for a low-price. They stored and sold the same fashion accessories and apparel which official stores were unable to sell for the regular price.",,Inactive,75,United States,e-Commerce,e-Commerce,Poor Product,e-Commerce,United States,,False,False,False,,1230768000
fl-28,Skully,skully,,Augmented reality motorcycle helmets,"## What was Skully?

Skully is a helmet trademark which targets motorcycle riders. News of the helmet generated considerable buzz as the company promised that their helmet would be the first Augmented Reality (AR) product of its industry offering unique technological features. The helmet comes with a rear facing camera and a heads-up display that can also be used to check contacts names and music streaming. The Skully helmet was to supposedly be the safest in the world since it offered a ""360° experience"" with its 180° blindspot camera. Riders could also avail of the hands-free voice calling and texting feature during their commutes.",,Inactive,30,United States,Transportation,Transportation,Mismanagement of Funds,Transportation,United States,,False,False,False,,1356998400
fl-29,Verelo,verelo,,Offered website monitoring services,"## What was Verelo?

Verelo was a Canadian startup that offered website monitoring services from multiple locations that notified customers when downtime, malware, or database connections were detected. It also offered uptime and performance analytics, monitoring site health and reporting services through SMS, email or phone. The website monitoring was enabled on the client’s blog or site and started checking and reporting problems should they arise. Their notifications were not an “add-on-service” but were part of the core product offering.",,Acquired,6,Canada,Analytics,Analytics,Lack of Funds,Analytics,Canada,,False,False,False,,1325376000
fl-30,Wantful,wantful,,Online gift-giving service,"## What was Wantful?

Wantful was an e-Commerce platform founded in 2011 with a base in San Francisco and New York City. The company targeted individuals looking to buy gifts for friends, family or acquaintances. Its objective was to help users by offering them personalized gift recommendations based on a set of input entered. The user needed to provide the site with information such as the gender, tastes and preferences of the person they were willing to donate the gift to and the platform would search through its inventory to bring a series of suggested items to the users. Wantful later expanded to allow users to find items for themselves as well and it even launched a series of popular products to complement their business.",,Inactive,10000,United States,e-Commerce,e-Commerce,Competition,e-Commerce,United States,,False,False,False,,1293840000
fl-31,Gowalla,gowalla,,Social Guide to world's cities,"## What was Gowalla?

Gowalla was a location-based social platform website and app that allowed users to check-in and share with others their location. It was launched in 2007 and had as a major competitor Foursquare, also a location-based app. The latter, however, has had way more success and currently boasts a user base of 45 million people while Gowalla shut down in 2012 as it reached 600,000 users.
Gowalla’s main feature was the check-in option for its users when they were close to certain “Spots”. The platform also gamified and encouraged users to actively share their location. Users could achieve a higher role and gain access to certain features if they demonstrated a high level of engagement with the app and sometimes received “items” that were provided by partner companies as promotional tools.",,Acquired,30,United States,Social Media,Social Media,Competition,Social Media,United States,,False,False,False,,1167609600
fl-32,PostRocket,postrocket,,Facebook page marketing platform,"## What was PostRocket?

PostRocket was a Facebook marketing platform, co-founded in October 2010. The company products and services were concentrated on marketers that needed a higher quality and more wide-ranging engagement on their Facebook pages so as to increase their sales. PostRocket had the goal of creating awareness by posting more engaging and friendly posts through the use of an algorithm that sorted out what the most effective posts for targeted users were. PostRocket helped FB page owners get custom content recommendations tailored to their specific customer base. Page owners could get Insights from their own panel which would help them optimize their post for type, frequency, content, and timing.",,Inactive,6,United States,Analytics,Analytics,Poor Product,Analytics,United States,,False,False,False,,1262304000
fl-33,Wesabe,wesabe,,Personal finance management website,"## What was Wesabe?

Wesabe is a former Personal Finance Management system which served its clients by helping them make better financial decisions by analyzing the client’s available financial options based on the data that the clients provided Wesabe with. The actual Wesabe web application also integrated community forums which include a dozen other people who are devoted to making smarter and better financial decisions.",,Inactive,30,United States,Finances,Finances,Bad Management,Finances,United States,,False,False,False,,1104537600
fl-34,99dresses,99dresses,,Virtual closet to trade fashion items,"## What was 99dresses?

99dresses was a fashion application marketed as a virtual model closet which offered basic inter-trade of second-hand designer dresses between users. The brain-child of this application noticed the high turnover in ladies' closets, whereby they purchase a designer fashion dress, wear it a couple of times, get bored and end up leaving the dress hanging in the closet unused for the months and years to come. The founder of the startup figured that it could be profitable and extremely fascinating to connect two or more ladies with the similar issues, tastes, and needs and have them trade clothes; and so, 99 dresses was born.",,Inactive,6,Australia,e-Commerce,e-Commerce,Multiple Reasons,e-Commerce,Australia,,False,False,False,,1262304000
fl-35,Lookery,lookery,,Demographic marketing services in social networks,"## What was Lookery?

Lookery gave statistic showcasing services that empowered organizations. These services were for companies that had vast inventory stocks but close to no client profiling. Lookery services made it so that websites could offer customers’ visitors highly relevant products for them based on the demographic data that it collected.",,Acquired,6,United States,Marketing,Marketing,Dependence on Others,Marketing,United States,,False,False,False,,1167609600
fl-36,Argyle Social,argyle-social,,Provided social media management tools,"## What was Argyle Social?

The Argyle Social was a Social media marketing tool. The company provided an easy to use, highly interactive platform for marketers to specifically improve their customers’ social media platform engagement and lead generation. Argyle was considered as having one of the best price-points in the market at some point. Widely praised for their intuitive dashboard and highly effective scheduling capabilities, Argyle had been for a period one of the most sought-after programs for many internet marketers.",,Inactive,30,United States,Marketing,Marketing,Competition,Marketing,United States,,False,False,False,,1262304000
fl-37,Karhoo,karhoo,,Cab aggregator and price comparison tool,"## What was Karhoo?

Karhoo was a cab aggregator and price comparison tool. Through its app, users could get a glance of all the licensed taxis, regulated and private cars for hire that were in the area. The user would be shown the pricing and location of the various cars on a map and they could then book rides with their cab of choice. Unlike other companies which have their own fleet of car, Karhoo relied on already available cabs and it took a 10% commision from the rides booked through its app.",,Acquired,75,United Kingdom,Transportation,Transportation,Poor Product,Transportation,United Kingdom,,False,False,False,,1388534400
fl-38,ArsDigita,arsdigita,,Agency that built solutions for e-commerce,"## What was ArsDigita?

ArsDigita was a Massachusetts based Web Development Company established in 1997. Its fundamental product was an open source toolbox called the ArsDigita Community System (ACS) that aimed to help support entrepreneurs who had an online business with their group sites by introducing the ArsDigita database. The database would prompt smooth exchanges processing, with consistent work process in every aspect of the E-organizations. The positive development of ArsDigita prompted the formation of the ArsDigita Foundation, that awarded ArsDigita prize yearly to secondary school students. The foundation also supported post-high school students to undertake a one-year software engineering course at an undergraduate level.",,Inactive,75,United States,e-Commerce,e-Commerce,Lack of Experience,e-Commerce,United States,,False,False,False,,852076800
fl-39,PoliMobile,polimobile,,Empowered campaigns with the power of mobile,"## What was PoliMobile?

PoliMobile was launched in 2011 and had at its core the goal of providing political campaigns with a strategic way to reach their potential supporters while making use of the new technology. At first, PoliMobile began as a software-as-a-benefit (SaaS) platform and later updated into a Mobile application that could be utilized over an assortment of campaigns. PoliMobile's primary goal was to engage people by making use of text messages on their mobile. The application could recognize particular groups utilizing registration information and send customized messages that were used for building and creating awareness.",,Inactive,6,United States,Marketing,Marketing,No Market Need,Marketing,United States,,False,False,False,,1293840000
fl-40,Tilt,tilt,,Social payment startup focused on crowd-funding,"## What was Tilt?

Tilt company was a social payment startup. Groups and communities used their mobile app to crowdfund various events. College students, in particular, used the mobile app to crowdfund events and settle with friends. Tilt first big mission was when they have successfully secured fundraisers for a nonprofit organization. The company sought to replace the notion of only being able to share photos and videos on a social platform by introducing social digital cash exchange as the next big thing.",,Acquired,175,United States,Finances,Finances,Lack of Focus,Finances,United States,,False,False,False,,1325376000
fl-41,Delicious,delicious,,"Bookmarking website to save, organize and discover links","## What was Delicious?

Delicious was a social bookmarking site that was founded in the year 2003 by Joshua Schachter and Peter Gadjokov. It was created to be different from other bookmarking platforms by enabling its users to store and share bookmarks.
Delicious also let users access their saved bookmarks anywhere, anytime. It was free and allowed visitors to group links, save homepages, and work collaboratively with other users too. Delicious went on to become one of the most popular social bookmarking sites on the internet.",,Active,75,United States,Productivity,Productivity,Acquisition Flu,Productivity,United States,,False,False,False,,1041379200
fl-42,Move Loot,move-loot,,Furniture online marketplace,"## What was Move Loot?

Move Loot was a San Francisco based online resale marketplace for furniture. The company’s online market stage was designed with the goal of productively offering, purchasing, stockpiling and delivering second-hand furniture to its customers. Its focus was to meet the requirement for furniture transfer and urge individuals to reuse furniture while expanding the day and age in which furniture was utilized. Its target was on persons who needed to move houses and sell their furniture or those who desired to revamp their household furniture.",,Inactive,75,United States,e-Commerce,e-Commerce,Bad Business Model,e-Commerce,United States,,False,False,False,,1356998400
fl-43,QBotix,qbotix,,Solar panels attached and regulated by robots,"## What was QBotix?

QBotix seemed like a very promising cleantech startup, so much so that it was able to raise a collective $23.5M in funding. QBotix offered solar panels that were attached and regulated by robots which could track solar light and rotate the panels automatically. The aim was that of reducing systems cost and maximize efficiency and productivity.",,Inactive,30,United States,Software & Hardware,Software & Hardware,Competition,Software & Hardware,United States,,False,False,False,,1262304000
fl-44,Fuhu,fuhu,,Designer and seller of cloud-served softwares,"## What was Fuhu?

Fuhu Inc. is most famously associated with the Nabi series of Tablets. Among the first product they came up with was urFooz which were digital trading cards, urDrive a software that permitted devices to install and run the applications straight from a USB device, and Fooz Kids a mobile device platform which was a safe browser for kids that enabled access to only selected areas of the internet. The Nabi series of red padded tablets for kids, however, is their signature product.",,Acquired,750,United States,Software & Hardware,Software & Hardware,Mismanagement of Funds,Software & Hardware,United States,,False,False,False,,1136073600
fl-45,SellanApp,sellanapp,,Connected creatives with app developers,"## What was SellanApp?

SellanApp sought to be the solution for people who had a great idea for an app but no resources or experience to actually materialize it on their own. The startup provided a crowdfunding model that would connect people with interesting apps concept with experienced app developers. After a user presented his/her app idea, anyone could show their interests in using the app and pledge to fund its development. The Apple App Store would then hopefully convert the idea into a revenue stream for the founders and the pledgers.",,Inactive,6,The Netherlands,Finances,Finances,Failure to Pivot,Finances,The Netherlands,,False,False,False,,1325376000
fl-46,Formspring,formspring,,Encouraged people to get to know each other,"## What was Formspring?

Formspring was an anonymous Q&A forum. The platform saw a rapid growth on its launch: 1 million users in less than two months. It allowed people to anonymously ask questions and send messages to other users without having to sign up.",,Inactive,30,United States,Social Media,Social Media,Legal Challenges,Social Media,United States,,False,False,False,,1230768000
fl-47,Reach.ly,reach-ly,,Analytics tool for e-Commerce sites,"## What was Reach.ly?

Reach.ly was an analytics tool for e-commerce sites providing actionable customer behavior patterns. It engaged in a real-time analytics infrastructure, which allowed e-commerce sites to engage with their customers through customized messages. Their websites tailored to uncover customer behavior and enable real-time customization. It helped the site owners understand sales and conversion rate comparison between various channels. The customers’ behavior patterns were uncovered by deploying machine for recognizing patterns and learning.",,Inactive,6,Latvia,Analytics,Analytics,Multiple Reasons,Analytics,Latvia,,False,False,False,,1293840000
fl-48,FoundationDB,foundationdb,,Scalable NoSQL layered database,"## What was FoundationDB?

FoundationDB is a NoSQL, YesACID scalable layered database that worked faster and needed less hardware than other services of its kind. FoundationDB core was private but it offered several tools as open source that many developers operated with and relied upon. In 2013, FoundationDB had released a paid and community version available for download.",,Acquired,30,United States,Software & Hardware,Software & Hardware,Acquisition Flu,Software & Hardware,United States,,False,False,False,,1230768000
fl-49,Stayzilla,stayzilla,,Indian homestay network,"## What was Stayzilla?

Stayzilla was a successful homestay network in India and it raised $33.5 million in funding. Yogendra Vasupal, the founder, launched the company, under the name Inasra Technologies, in 2005.
He then changed the name to Stayzilla in 2010, because the owner wanted to expand his services in all the cities and Zillas (Districts) in India. The company was an early Airbnb business type that provided an online platform in which homestays, ‘alternative stays’, as well as hotels could be listed.
Stayzilla had over 15000 stays in about 1100 cities across the country and in 2013 it reached the 500 bookings in a day milestone.",,Inactive,375,India,Travel,Travel,Lack of Focus,Travel,India,,False,False,False,,1104537600
fl-50,Auctionata,auctionata,,Online auction platform for art & luxury,"## What was Auctionata?

Auctionata was an online sales management firm and eCommerce organization that gave online closeout administrations of artistic items, extravagance collectibles, and others. Preceding each sale, Auctionata gave data to all things to be unloaded on its site. The auctions themselves were held in a TV-studio and streamed on the web. The closeouts were driven by an authorized salesperson and offers were acknowledged by telephone, on the web, by a truant offer, as well as from the studio floor. Auctionata utilized a framework created by its originators, enabling it to transmit the live video stream that provided a real-time working framework without delays. Auctionata was to directly to rival multinational closeout houses, including Christie's and Sotheby's. Since potential bidders never again needed to physically go to the sales, Auctionata's online sell-offs was a revolutionary innovation in the field.",,Inactive,375,Germany,e-Commerce,e-Commerce,Legal Challenges,e-Commerce,Germany,,False,False,False,,1325376000
fl-51,Tutorspree,tutorspree,,Web-based tuition services,"## What was Tutorspree?

Tutorspree wanted to enhance the way tutoring is done by making it easier for students to find quality tutors in their area. Tutorspree graduated from Y Combinator in 2011 and was known as the ""Airbnb for tutors"". People could register as a student in their educational marketplace, set their preferences and filter so that Tutorspree algorithm could pair them up with the best available tutor for them among the 7000 tutors on the platform.",,Acquired,75,United States,Education,Education,Bad Marketing,Education,United States,,False,False,False,,1262304000
fl-52,Grooveshark,grooveshark,,Web-based on-demand music application,"## What was Grooveshark?

Grooveshark was the product of two young entrepreneurs. Grooveshark was a very popular streaming platform for music that was initially web-based and also had an app version for a period of time.
Despite its early success and a dedicated user base, Grooveshark's journey was faced with challenges leading to its eventual shutdown.",,Inactive,75,United States,Music,Music,Legal Challenges,Music,United States,,False,False,False,,1136073600
fl-53,Transpose,transpose,,Smart workspace for businesses to manage projects,"## What was Transpose?

Transpose, a Seattle startup which initially took off as a note-taking app known as KustomNote, decided subsequently to implement a major strategy shift that would give full attention to its business customers. Transpose then grew into a more comprehensive information management platform, changed its name and introduced new features. It also started charging its users a monthly fee of $14.99 per to access to its tools while keeping a limited-access free plan.",,Inactive,30,United States,Productivity,Productivity,Bad Business Model,Productivity,United States,,False,False,False,,1420070400
fl-54,RewardMe,rewardme,,Intelligent CRM solution for local commerce,"## What was RewardMe?

RewardMe was the world's first real-time intelligent Customer Relationship Manager (CRM) Platform for Local Commerce and was established in 2010. The RewardMe Platform provided a way to empower trade arrangements by providing data on the consumer that could be used by local business to effectively target their consumers.",,Inactive,30,United States,Marketing,Marketing,Lack of Funds,Marketing,United States,,False,False,False,,1262304000
fl-55,Maple,maple,,High-quality food delivery startup,"## What was Maple?

Maple was a startup that prepared and delivered meals in New York. It provided its customer with complimentary maple sugar cookie in every order made. Unlike others companies, maple gave full restaurant experience for it had its own apps, delivery staff, and kitchens. The idea was to have top chefs prepare the main menu and have satellite kitchens provide the complementary dishes. Since the business didn’t have to incur in the high expenses that come when opening an actual restaurant, they could afford to provide premium dishes at an affordable price.",,Acquired,175,United States,Food & Beverage,Food & Beverage,Bad Business Model,Food & Beverage,United States,,False,False,False,,1388534400
fl-56,TeeBeeDee,teebeedee,,Network for people over 40 to share experiences,"## What was TeeBeeDee?

TeeBeeDee was a social network launched in 2007 that was aimed at people over 40. It was well built and designed featuring many of the elements that made others social networks successful. The network’s CEO, also the founder of a parenting magazine, sought to bring forth a network that appealed to baby-boomers in which they could share insights and learn from each other.",,Inactive,30,United States,Social Media,Social Media,Bad Business Model,Social Media,United States,,False,False,False,,1167609600
fl-57,Yik Yak,yik-yak,,Anonymous location-based social network,What was Yik Yak? Why was it shut down? Are there any alternatives nowadays? Find the answers to these questions and more in this article.,,Inactive,30,United States,Social Media,Social Media,Legal Challenges,Social Media,United States,,False,False,False,,1356998400
fl-58,Dazo,dazo,,India's first curated food demand platform,"## What was Dazo?

Dazo was a food tech startup based in Bangalore which emerged as a “food on demand” company that partnered with few selected restaurants and took care of the food delivery logistics. Hungry customers could find and order their perfect meal within seconds of opening the app, according to the startup founders. Dazo (formerly TapCibo) achieved this by analyzing and saving users’ behavior, preferences and direct feedback. The startup counter-intuitive approach of only working with about 20 restaurants that offered different cuisines was based on the (true) assumption that hungry customers had no patience for going through dozens of restaurants menus and reviews. What they needed was the best food delivered within minutes for an affordable price, and this is exactly what Dazo was about.",,Inactive,30,India,Food & Beverage,Food & Beverage,Competition,Food & Beverage,India,,False,False,False,,1420070400
fl-59,BitPass,bitpass,,Online payment system for digital content,"## What was BitPass?

Bitpass was a company that gave people a platform to make micropayments online. These payments were ranging from one cent to a dollar. BitPass developed an online payment system for digital content and services like the downloadable music and PDFs. Mperia, an online music store founded in 2003, was one of its greatest projects for unsigned artists. BitPass customers included giants such as Disney and Microsoft.",,Inactive,75,United States,Finances,Finances,Competition,Finances,United States,,False,False,False,,1009843200
fl-60,Flowtab,flowtab,,Mobile app to order drinks on nightclubs,"## What was Flowtab?

Flowtab was a mobile app that wanted to use technology to solve the problem of long queues in bars and hospitality venues. Flowtab created an app that would show users a list of drinks they could order from their mobiles without having to wait for the bartender to take their order. The app was connected to the bar's iPad which would then sync the orders to the POS terminal of the bar and payments would be are sent to the bar's bank account.",,Inactive,75,United States,Food & Beverage,Food & Beverage,Bad Business Model,Food & Beverage,United States,,False,False,False,,1293840000
fl-61,Moped,moped,,Free messaging application,"## What was Moped?

Moped was a social app available for every device. Registered users could send and receive messages from their network connections. Beside the messaging service for both private and business purposes, Moped also offered a variety of other services to its users online. Some of its features included the possibility to upload the content and share it online with other users through Dropbox, or even to explore what nearby places offer good services, food, party, etc, by partnering with the Foursquare App. Moped also allowed all registered users to perform complex tasks by using multiple apps at the same time, with the help of the integrated IFTTT (if this, then that) app.",,Acquired,30,Germany,Social Media,Social Media,No Market Need,Social Media,Germany,,False,False,False,,883612800
fl-62,RethinkDB,rethinkdb,,Scalable database for the real-time web,"## What was RethinkDB?

RethinkDB was an open-source database, the first of its kind that makes use of a distributed and scalable NoSQL database. RethinkDB was built from its inception for real-time web applications. It provided solutions to make processes faster and more reliable such as using live push updates instead of the traditional and slower polling for data in queries.",,Acquired,30,United States,Software & Hardware,Software & Hardware,Lack of PMF,Software & Hardware,United States,,False,False,False,,1230768000
fl-63,Brisk,brisk,,Built tools for sales organizations,"## What was Brisk?

Brisk was an online sales and marketing platform founded in 2012 with the aim to help salespeople predict and analyze sales. Brisk recommend actions salespeople could do to gain optimal results. Brisk acknowledged that there were a lot of signals around sales, in the customer relationship management (CRM), in the salesforce inbox, calendar, and online, but salespeople used little of it and ended up being rather random in their actions. Brisk was there to fill that gap and help the salesforce to use all the available signals and make calculated moves that would boost their sales as well as improve CRM.",,Inactive,30,Sweden,Marketing,Marketing,Lack of Focus,Marketing,Sweden,,False,False,False,,1325376000
